;language:;French;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;French Web 2012;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
44;agir;23411;0,015658254;;;;;;;;;;;;;;;;;;;;;;
45;présenter;22766;0,015226851;;;;;;;;;;;;;;;;;;;;;;
46;sortir;22585;0,015105791;;;;;;;;;;;;;;;;;;;;;;
47;regarder;22169;0,014827553;;;;;;;;;;;;;;;;;;;;;;
48;aider;22092;0,014776052;;;;;;;;;;;;;;;;;;;;;;
49;concerner;21501;0,014380766;;;;;;;;;;;;;;;;;;;;;;
50;porter;21445;0,014343311;;;;;;;;;;;;;;;;;;;;;;
51;choisir;20884;0,013968091;;;;;;;;;;;;;;;;;;;;;;
52;retrouver;20359;0,013616949;;;;;;;;;;;;;;;;;;;;;;
53;perdre;19854;0,013279184;;;;;;;;;;;;;;;;;;;;;;
54;entendre;19763;0,013218319;;;;;;;;;;;;;;;;;;;;;;
55;écrire;19115;0,01278491;;;;;;;;;;;;;;;;;;;;;;
56;montrer;19052;0,012742773;;;;;;;;;;;;;;;;;;;;;;
57;appeler;18759;0,012546802;;;;;;;;;;;;;;;;;;;;;;
58;répondre;18640;0,01246721;;;;;;;;;;;;;;;;;;;;;;
59;recevoir;18596;0,012437781;;;;;;;;;;;;;;;;;;;;;;
60;chercher;18392;0,012301337;;;;;;;;;;;;;;;;;;;;;;
61;continuer;18374;0,012289298;;;;;;;;;;;;;;;;;;;;;;
62;découvrir;18358;0,012278597;;;;;;;;;;;;;;;;;;;;;;
63;gagner;18345;0,012269902;;;;;;;;;;;;;;;;;;;;;;
64;travailler;17850;0,011938825;;;;;;;;;;;;;;;;;;;;;;
65;lire;17609;0,011777634;;;;;;;;;;;;;;;;;;;;;;
66;décider;17508;0,011710081;;;;;;;;;;;;;;;;;;;;;;
67;changer;17404;0,011640522;;;;;;;;;;;;;;;;;;;;;;
68;réaliser;17262;0,011545546;;;;;;;;;;;;;;;;;;;;;;
69;poser;17250;0,01153752;;;;;;;;;;;;;;;;;;;;;;
70;assurer;16978;0,011355595;;;;;;;;;;;;;;;;;;;;;;
71;sentir;16808;0,011241892;;;;;;;;;;;;;;;;;;;;;;
72;revenir;16777;0,011221158;;;;;;;;;;;;;;;;;;;;;;
73;compter;16427;0,010987063;;;;;;;;;;;;;;;;;;;;;;
74;exister;16267;0,010880049;;;;;;;;;;;;;;;;;;;;;;
75;finir;16236;0,010859314;;;;;;;;;;;;;;;;;;;;;;
76;acheter;16085;0,010758319;;;;;;;;;;;;;;;;;;;;;;
77;apprendre;15447;0,010331598;;;;;;;;;;;;;;;;;;;;;;
78;souhaiter;15306;0,010237292;;;;;;;;;;;;;;;;;;;;;;
79;ajouter;14792;0,009893507;;;;;;;;;;;;;;;;;;;;;;
80;expliquer;14709;0,009837993;;;;;;;;;;;;;;;;;;;;;;
81;servir;14618;0,009777129;;;;;;;;;;;;;;;;;;;;;;
82;ouvrir;14171;0,009478156;;;;;;;;;;;;;;;;;;;;;;
83;produire;13718;0,009175171;;;;;;;;;;;;;;;;;;;;;;
84;oublier;13290;0,008888907;;;;;;;;;;;;;;;;;;;;;;
85;considérer;13239;0,008854796;;;;;;;;;;;;;;;;;;;;;;
86;lancer;13226;0,008846101;;;;;;;;;;;;;;;;;;;;;;
87;fournir;13163;0,008803964;;;;;;;;;;;;;;;;;;;;;;
88;annoncer;13084;0,008751125;;;;;;;;;;;;;;;;;;;;;;
89;arr?ter;12967;0,008672871;;;;;;;;;;;;;;;;;;;;;;
90;importer;12863;0,008603311;;;;;;;;;;;;;;;;;;;;;;
91;prévoir;12752;0,00852907;;;;;;;;;;;;;;;;;;;;;;
92;développer;12693;0,008489608;;;;;;;;;;;;;;;;;;;;;;
93;garder;12652;0,008462186;;;;;;;;;;;;;;;;;;;;;;
94;atteindre;12505;0,008363866;;;;;;;;;;;;;;;;;;;;;;
95;organiser;12490;0,008353833;;;;;;;;;;;;;;;;;;;;;;
96;rencontrer;12186;0,008150505;;;;;;;;;;;;;;;;;;;;;;
97;tomber;12136;0,008117063;;;;;;;;;;;;;;;;;;;;;;
98;reconnaître;12025;0,008042822;;;;;;;;;;;;;;;;;;;;;;
99;apporter;11876;0,007943165;;;;;;;;;;;;;;;;;;;;;;
100;reprendre;11598;0,007757227;;;;;;;;;;;;;;;;;;;;;;
101;rappeler;11572;0,007739837;;;;;;;;;;;;;;;;;;;;;;
102;profiter;11569;0,00773783;;;;;;;;;;;;;;;;;;;;;;
103;envoyer;11463;0,007666933;;;;;;;;;;;;;;;;;;;;;;
104;éviter;11440;0,00765155;;;;;;;;;;;;;;;;;;;;;;
105;représenter;11347;0,007589347;;;;;;;;;;;;;;;;;;;;;;
106;espérer;11324;0,007573964;;;;;;;;;;;;;;;;;;;;;;
107;tourner;11045;0,007387357;;;;;;;;;;;;;;;;;;;;;;
108;situer;10926;0,007307765;;;;;;;;;;;;;;;;;;;;;;
109;installer;10865;0,007266966;;;;;;;;;;;;;;;;;;;;;;
110;entrer;10834;0,007246231;;;;;;;;;;;;;;;;;;;;;;
111;lier;10771;0,007204094;;;;;;;;;;;;;;;;;;;;;;
112;tenter;10651;0,007123833;;;;;;;;;;;;;;;;;;;;;;
113;participer;10621;0,007103768;;;;;;;;;;;;;;;;;;;;;;
114;mener;10593;0,007085041;;;;;;;;;;;;;;;;;;;;;;
115;indiquer;10493;0,007018156;;;;;;;;;;;;;;;;;;;;;;
116;augmenter;10350;0,006922512;;;;;;;;;;;;;;;;;;;;;;
