;language:;French;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;French Web 2012;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
78;a?d;10 916;0,085592862;;;;;;;;;;;;;;;;;;;;;;
79;inou?;10 862;0,085169445;;;;;;;;;;;;;;;;;;;;;;
80;Dala?;10 805;0,084722505;;;;;;;;;;;;;;;;;;;;;;
81;Le?la;10 736;0,084181473;;;;;;;;;;;;;;;;;;;;;;
82;hÇmorro?des;10 380;0,081390061;;;;;;;;;;;;;;;;;;;;;;
83;co?ncider;10 224;0,080166857;;;;;;;;;;;;;;;;;;;;;;
84;a?kido;10 222;0,080151175;;;;;;;;;;;;;;;;;;;;;;
85;astÇro?de;9 761;0,076536453;;;;;;;;;;;;;;;;;;;;;;
86;ha?ssait;9 734;0,076324745;;;;;;;;;;;;;;;;;;;;;;
87;co?ncidences;9 718;0,076199288;;;;;;;;;;;;;;;;;;;;;;
88;Qa?da;9 675;0,075862123;;;;;;;;;;;;;;;;;;;;;;
89;Za?re;9 479;0,074325278;;;;;;;;;;;;;;;;;;;;;;
90;AdÇla?de;9 421;0,073870497;;;;;;;;;;;;;;;;;;;;;;
91;astÇro?des;9 372;0,073486286;;;;;;;;;;;;;;;;;;;;;;
92;tha?landaise;9 278;0,072749228;;;;;;;;;;;;;;;;;;;;;;
93;Esa?e;9 277;0,072741387;;;;;;;;;;;;;;;;;;;;;;
94;ha?;9 203;0,072161149;;;;;;;;;;;;;;;;;;;;;;
95;A?cha;9 087;0,071251588;;;;;;;;;;;;;;;;;;;;;;
96;ca?d;9 054;0,070992833;;;;;;;;;;;;;;;;;;;;;;
97;Sergue?;8 856;0,069440306;;;;;;;;;;;;;;;;;;;;;;
98;cortico?des;8 770;0,068765976;;;;;;;;;;;;;;;;;;;;;;
99;rhumato?de;8 712;0,068311195;;;;;;;;;;;;;;;;;;;;;;
100;pa?ennes;8 563;0,06714288;;;;;;;;;;;;;;;;;;;;;;
101;humano?des;8 545;0,067001741;;;;;;;;;;;;;;;;;;;;;;
102;humano?de;8 372;0,06564524;;;;;;;;;;;;;;;;;;;;;;
103;Mikha?l;8 266;0,064814089;;;;;;;;;;;;;;;;;;;;;;
104;Hano?;8 191;0,06422601;;;;;;;;;;;;;;;;;;;;;;
105;co?ncident;7 984;0,062602914;;;;;;;;;;;;;;;;;;;;;;
106;ma?;7 822;0,061332664;;;;;;;;;;;;;;;;;;;;;;
107;a?eul;7 779;0,060995499;;;;;;;;;;;;;;;;;;;;;;
108;Dosto?evski;7 643;0,059929117;;;;;;;;;;;;;;;;;;;;;;
109;samoura?s;7 528;0,059027397;;;;;;;;;;;;;;;;;;;;;;
110;ha?ssent;7 526;0,059011715;;;;;;;;;;;;;;;;;;;;;;
111;Ha?fa;7 502;0,058823529;;;;;;;;;;;;;;;;;;;;;;
112;sto?que;7 477;0,058627503;;;;;;;;;;;;;;;;;;;;;;
113;Tolsto?;7 392;0,057961014;;;;;;;;;;;;;;;;;;;;;;
114;ha?tiennes;7 317;0,057372936;;;;;;;;;;;;;;;;;;;;;;
115;HÇlo?se;7 259;0,056918155;;;;;;;;;;;;;;;;;;;;;;
116;na?ves;7 210;0,056533944;;;;;;;;;;;;;;;;;;;;;;
117;ba?onnette;7 181;0,056306554;;;;;;;;;;;;;;;;;;;;;;
118;mao?stes;6 770;0,053083884;;;;;;;;;;;;;;;;;;;;;;
119;bonsa?;6 446;0,050543385;;;;;;;;;;;;;;;;;;;;;;
120;tha?s;6 425;0,050378723;;;;;;;;;;;;;;;;;;;;;;
121;Karza?;6 312;0,049492684;;;;;;;;;;;;;;;;;;;;;;
122;Andre?;6 109;0,047900952;;;;;;;;;;;;;;;;;;;;;;
123;Isma?l;6 103;0,047853906;;;;;;;;;;;;;;;;;;;;;;
124;Shangha?;6 102;0,047846065;;;;;;;;;;;;;;;;;;;;;;
125;mao?ste;5 848;0,045854439;;;;;;;;;;;;;;;;;;;;;;
126;ta?wanais;5 736;0,044976242;;;;;;;;;;;;;;;;;;;;;;
127;da?ra;5 571;0,043682469;;;;;;;;;;;;;;;;;;;;;;
128;archa?sme;5 520;0,043282576;;;;;;;;;;;;;;;;;;;;;;
