;word list generated with Sketch Engine https://www.sketchengine.co.uk/word-lists/;;
;language:;Spanish;
;corpus:;Spanish Web 2011;
;word form;frequence;
175;legal;10 707;0,047532163
176;procedente;10 696;0,04748333
177;inmediato;10 662;0,047332392
178;religioso;10 533;0,046759716
179;imposible;10 516;0,046684247
180;esencial;10 436;0,046329098
181;militar;10 416;0,046240311
182;rural;10 341;0,04590736
183;extranjero;10 187;0,045223699
184;clínico;10 160;0,045103836
185;rico;10 141;0,045019489
186;permanente;10 135;0,044992853
187;independiente;10 030;0,04452672
188;preciso;9 905;0,043971801
189;jurídico;9 902;0,043958483
190;teórico;9 874;0,043834181
191;auténtico;9 851;0,043732076
192;externo;9 789;0,043456836
193;futuro;9 774;0,043390246
194;relativo;9 763;0,043341413
195;intenso;9 693;0,043030658
196;exterior;9 653;0,042853084
197;turístico;9 647;0,042826448
198;secundario;9 475;0,042062879
199;negativo;9 332;0,041428051
200;autónomo;9 295;0,041263795
